priority,status,shelf_subject,shelf_topic,article_title,suggested_filename,source,download_url,notes
1,todo,Syllabus & exam pattern,Notification,CSE notification / syllabus (latest),cse-notification-syllabus-latest.pdf,UPSC,https://www.upsc.gov.in,Download the latest CSE notification PDF + syllabus annexure from the official site. Check Examinations → Civil Services.
1,todo,Syllabus & exam pattern,Prelims,Prelims syllabus (GS + CSAT),prelims-syllabus.pdf,UPSC,https://www.upsc.gov.in,Often inside the same notification PDF — split only if separate files exist.
1,todo,Syllabus & exam pattern,Mains,Mains GS syllabus,mains-gs-syllabus.pdf,UPSC,https://www.upsc.gov.in,Same source as notification if not a separate PDF.
2,todo,Indian Polity,Constitution,Constitution of India (official),constitution-of-india.pdf,Legislative Department,https://lddashboard.legislative.gov.in/constitution-of-india,Use the official PDF only. Full text is fine as one article for v1.
3,todo,NCERT — Polity,Class VI–XII shortlist,NCERT Polity / Democratic Politics (start Class IX–X),ncert-polity-class-IX.pdf,NCERT,https://ncert.nic.in/textbook.php,Open textbook.php → Social Science / Political Science. Download only NCERT-hosted chapter or book PDFs. Start with 2–4 books.
3,todo,NCERT — History,Class VI–XII shortlist,NCERT History (start Class IX–X Our Past / India & Contemporary World),ncert-history-class-IX.pdf,NCERT,https://ncert.nic.in/textbook.php,Same portal. Prefer modern India chapters first for UPSC relevance.
3,todo,NCERT — Geography,Class VI–XII shortlist,NCERT Geography (start Class IX–X Contemporary India),ncert-geography-class-IX.pdf,NCERT,https://ncert.nic.in/textbook.php,Physical + India geography shortlist.
3,todo,NCERT — Economy,Class IX–XII shortlist,NCERT Economics (Class IX–XII),ncert-economics-class-IX.pdf,NCERT,https://ncert.nic.in/textbook.php,IX–XII Economics books.
3,todo,NCERT — Science,Class VI–X shortlist,NCERT Science (selected),ncert-science-class-X.pdf,NCERT,https://ncert.nic.in/textbook.php,Do not upload all science books day one — pick high-yield / env-related later.
4,todo,Indian Economy,Economic Survey,Economic Survey (latest year),economic-survey-latest.pdf,India Budget,https://www.indiabudget.gov.in,Download latest Survey volume(s). Prefer chapter PDFs if listed separately.
4,todo,Indian Economy,Budget,Union Budget + key docs (latest),union-budget-latest.pdf,India Budget,https://www.indiabudget.gov.in,Budget speech / key documents for the same year as Survey.
5,todo,Previous year papers,Prelims,Prelims GS (last year),prelims-gs-YYYY.pdf,UPSC Previous Papers,https://www.upsc.gov.in/examinations/previous-question-papers,Start with latest year; then backfill 5–10 years. One article per year (or GS+CSAT if separate).
5,todo,Previous year papers,Prelims,Prelims CSAT (last year),prelims-csat-YYYY.pdf,UPSC Previous Papers,https://www.upsc.gov.in/examinations/previous-question-papers,If published as a separate PDF.
5,todo,Previous year papers,Mains,Mains GS papers (last year),mains-gs-YYYY.pdf,UPSC Previous Papers,https://www.upsc.gov.in/examinations/previous-question-papers,GS-I to GS-IV + Essay as available for that year.
6,todo,Reference,India Year Book,India Year Book (buy / official link),india-year-book-YYYY.pdf,Publications Division,https://www.publicationsdivision.nic.in,Do not pirate scans. Link or upload only if you have rights.
7,todo,Current affairs,Monthly digest,PIB + PRS curated digest (manual),current-affairs-YYYY-MM.pdf,PIB + PRS,https://pib.gov.in | https://prsindia.org,Curate your own monthly PDF — do not scrape forever. Links + short notes is enough for v1.
